Category,Agent_Rating,Weather,Distance_km,Agent_Age,Order_Time,Traffic,Vehicle,Pickup_Time,Order_Date,Drop_Longitude,Drop_Latitude,Store_Longitude,Store_Latitude,Delivery_Time
6,4.8,4,8.94231401289274,20,108,3,0,120,2,80.411569,26.53775,80.351569,26.47775,60
5,4.4,4,17.063961737396863,38,148,1,1,165,41,76.731094,12.431214,76.621094,12.321214,32
15,4.4,3,3.102778532996167,34,20,2,0,26,30,76.647961,12.343978,76.627961,12.323978,105
15,5.0,2,1.5496365424392635,25,5,2,1,10,40,77.625428,12.943284,77.615428,12.933284,60
12,5.0,0,3.059241752280784,20,34,0,1,42,24,73.916485,18.556562,73.896485,18.536562,155
2,5.0,0,1.5295340177411298,22,32,2,1,39,16,73.926619,18.57245,73.916619,18.56245,90
11,4.6,0,7.440272198875592,32,124,1,0,139,22,75.856896,26.942312,75.806896,26.892312,135
12,4.9,3,13.204881259879022,35,108,3,1,122,1,78.150221,30.430722,78.060221,30.340722,130
12,4.8,0,6.07144819276444,36,86,3,1,98,20,72.84859,21.225047,72.80859,21.185047,80
6,4.7,1,19.63077725461477,30,124,1,0,138,15,75.996699,22.881857,75.866699,22.751857,220
15,4.7,1,12.27087691029428,27,170,2,0,190,19,78.448855,17.53971,78.368855,17.45971,120
11,4.5,2,6.049848888721861,23,68,0,0,78,36,73.204798,22.351358,73.164798,22.311358,130
3,4.5,2,16.82329231639434,23,161,2,1,180,29,74.010626,18.656947,73.900626,18.546947,70
13,4.7,0,16.624172331700407,28,151,1,0,169,3,88.503294,22.624688,88.393294,22.514688,195
1,4.6,5,4.602309648627729,38,149,1,0,167,30,78.479578,17.452819,78.449578,17.422819,145
14,5.0,0,6.197901026723876,22,75,0,1,86,42,77.648179,13.012532,77.608179,12.972532,125
11,4.3,5,9.329347284017294,24,170,2,0,188,42,77.036268,11.061852,76.976268,11.001852,110
8,4.8,1,14.121309628180253,33,159,2,0,178,33,0.09,0.09,0.0,0.0,135
15,4.8,2,3.020928890673669,32,28,2,0,34,16,75.918497,22.745748,75.898497,22.725748,125
5,4.6,0,9.34456269757836,21,109,3,1,121,4,76.356783,10.017144,76.296783,9.957144,19
1,4.7,2,20.212460530271784,30,157,2,0,175,27,77.111876,11.130762,76.981876,11.000762,130
12,4.6,1,1.5125345522731677,21,16,2,1,20,36,73.175012,22.321603,73.165012,22.311603,50
6,4.9,1,4.53136514504565,24,125,1,1,139,36,75.916959,22.752634,75.886959,22.722634,135
14,4.8,5,17.064481964903436,25,154,1,0,170,43,76.753622,12.414569,76.643622,12.304569,160
2,4.8,2,9.32995691639106,25,136,1,2,153,8,77.031082,11.02185,76.971082,10.96185,50
15,4.9,5,10.84370492508175,27,138,1,2,155,17,80.290672,13.156439,80.220672,13.086438,145
12,4.7,2,2.98084837101494,32,9,2,2,13,2,80.338656,26.51095,80.318656,26.49095,130
13,4.9,2,12.438787521229942,28,157,2,1,176,43,77.064311,11.088638,76.984311,11.008638,75
5,4.5,3,4.707104052532131,23,151,1,0,169,28,0.03,0.03,0.0,0.0,13
15,4.8,5,6.117369061558013,39,94,3,1,107,18,73.825901,18.633481,73.785901,18.593481,140
14,5.0,0,17.064359165007573,37,167,2,0,187,37,76.775808,12.4185,76.665808,12.3085,215
9,4.6,0,19.632388800581232,34,174,2,0,1,13,76.014167,22.857021,75.884167,22.727021,210
4,4.5,1,13.805559933930528,39,0,2,0,1,9,78.49035,17.521477,78.40035,17.431477,185
8,5.0,2,4.648820436755552,34,143,1,2,158,16,77.644293,12.963298,77.614293,12.933298,150
4,4.8,4,3.1097660534862834,22,9,2,0,14,26,77.035393,11.045083,77.015393,11.025083,70
5,4.6,4,16.694603802184574,29,127,1,1,142,13,72.904115,21.296438,72.794115,21.186438,23
7,5.0,4,10.624839550813707,27,167,2,0,186,15,72.865503,21.245975,72.795503,21.175975,140
5,4.8,4,9.167371856167897,30,175,2,1,0,32,72.892585,18.987584,72.832585,18.927584,16
10,4.8,0,1.5492629780593916,21,31,2,0,37,38,80.274151,13.068616,80.264151,13.058616,80
14,4.2,0,14.121309628180253,20,127,1,0,141,43,0.09,0.09,0.0,0.0,220
3,4.5,1,4.664779343911224,34,109,3,1,122,12,77.00544,11.033008,76.97544,11.003008,95
12,4.8,5,17.102966201435997,22,156,2,0,175,31,77.061736,11.116686,76.951736,11.006686,60
9,4.9,3,10.57148959092966,25,160,2,1,177,29,75.95949,22.821234,75.88949,22.751234,55
8,5.0,5,20.24463628276793,35,120,3,0,133,3,76.411128,10.115697,76.281128,9.985697,150
3,4.4,0,7.636642780345835,30,142,1,1,157,28,72.882658,19.115838,72.832658,19.065838,185
15,5.0,1,7.774583711944046,36,130,1,0,146,16,77.02544,11.053009,76.97544,11.003008,165
7,4.6,1,7.670211891676027,28,150,1,1,168,16,78.454423,17.478294,78.404423,17.428294,160
10,4.1,5,19.730372280538887,39,154,1,0,170,17,72.919122,21.300096,72.789122,21.170096,185
1,4.6,3,10.883784663923027,31,159,2,1,177,19,77.068349,11.092298,76.998349,11.022298,110
12,4.2,0,4.534453035267948,27,151,1,1,168,0,88.39783,22.545082,88.36783,22.515082,155
15,4.6,0,9.329034857219831,35,152,1,0,168,24,77.058349,11.082298,76.998349,11.022298,150
6,4.9,2,12.396112113657612,34,164,2,1,182,41,77.705999,13.019496,77.625999,12.939496,115
1,4.5,0,3.0206490444019702,30,32,2,0,39,8,75.917429,22.773839,75.897429,22.753839,110
10,4.7,0,4.521764698268595,29,125,1,1,141,30,85.355146,23.387804,85.325146,23.357804,160
2,4.1,5,4.463998184430929,36,112,3,0,127,14,75.827282,26.941927,75.797282,26.911927,165
10,4.1,0,17.040382448586055,31,139,1,1,156,21,80.367221,13.164347,80.257221,13.054347,220
7,4.7,3,12.272038962044778,22,138,1,0,153,23,78.529578,17.502819,78.449578,17.422819,85
9,4.5,4,7.551064369580295,20,116,3,0,130,8,75.937522,22.811226,75.887522,22.761226,50
12,4.3,0,12.214333869904944,38,172,2,0,192,13,72.916721,19.256269,72.836721,19.176269,220
0,4.6,0,13.804873199406153,23,120,3,0,135,25,78.469347,17.540851,78.379347,17.450851,150
11,4.5,1,7.757008674701061,36,149,1,1,165,22,76.693622,12.354569,76.643622,12.304569,135
9,4.7,5,13.962610508154096,34,117,3,0,130,39,76.715861,12.374747,76.625861,12.284747,235
3,4.4,1,4.654235823749315,37,135,1,0,150,22,76.689264,12.340972,76.659264,12.310972,155
0,4.6,0,9.308411100114,37,144,1,2,160,12,76.70262,12.359524,76.64262,12.299524,150
3,4.0,2,4.521867847821235,38,132,1,0,147,30,85.355731,23.381058,85.325731,23.351058,155
6,4.8,3,12.060840214262289,22,103,3,1,115,1,77.488236,23.344015,77.408236,23.264015,95
0,4.8,2,14.121309628180253,28,155,2,0,174,3,0.09,0.09,0.0,0.0,120
14,4.9,3,7.746223734595355,35,107,3,0,119,40,80.31147,13.094694,80.26147,13.044694,135
5,4.9,1,7.7744964674614065,34,175,2,0,0,36,77.025525,11.053681,76.975525,11.003681,19
13,4.9,2,3.016018089747595,36,10,2,0,13,0,77.454976,23.234459,77.434976,23.214459,130
11,5.0,0,6.118144363322555,20,69,0,1,79,30,73.940626,18.586947,73.900626,18.546947,135
0,4.8,4,5.951921111490412,35,77,0,0,86,20,75.823013,26.950262,75.783013,26.910262,100
12,4.1,3,16.635239139962547,22,128,1,0,144,19,73.280937,22.420526,73.170937,22.310526,180
15,4.9,3,1.5514034361583109,32,1,2,1,6,16,76.637961,12.333978,76.627961,12.323978,115
4,4.7,4,5.85564951476058,36,78,3,0,88,0,75.844893,30.92722,75.804893,30.88722,105
15,4.5,0,7.589832671093596,21,156,2,0,173,12,72.818778,21.207735,72.768778,21.157735,65
5,4.6,1,3.054465822227318,31,25,2,2,30,20,72.866749,19.123249,72.846749,19.103249,15
0,4.8,3,20.141516380852213,22,120,3,1,135,9,77.775748,13.100324,77.645748,12.970324,110
11,5.0,2,13.80547731046219,20,137,1,1,153,9,78.476744,17.523809,78.386744,17.433809,140
8,4.9,3,1.5690347154047224,30,20,2,0,26,6,0.01,0.01,0.0,0.0,135
1,4.6,5,13.66085535805377,25,107,3,0,120,29,72.858726,21.247729,72.768726,21.157729,80
9,4.6,1,17.259376716936664,25,157,2,0,176,35,0.11,0.11,0.0,0.0,115
2,4.5,4,13.944429464869724,38,128,1,0,144,11,77.730625,13.069096,77.640625,12.979096,85
13,4.8,0,12.062119922930552,27,149,1,0,165,1,77.509845,23.312537,77.429845,23.232537,225
11,4.7,1,12.27115617104904,39,163,2,0,180,35,78.459347,17.530851,78.379347,17.450851,125
5,5.0,4,13.389956650652868,35,118,3,0,133,29,75.883604,27.011411,75.793604,26.921411,19
2,4.5,1,19.8821644067996,23,109,3,0,121,39,73.960327,18.666719,73.830327,18.536718,195
11,4.0,0,10.270824769253997,32,171,2,0,190,1,78.131187,30.412509,78.061187,30.342509,220
9,4.5,2,16.799673910851933,27,175,2,0,2,21,72.943984,19.165831,72.833984,19.055831,120
13,4.6,0,13.591016959866298,32,150,1,0,168,33,75.977522,22.851226,75.887522,22.761226,190
6,4.6,4,13.59260974836444,21,153,1,1,170,31,75.988497,22.815748,75.898497,22.725748,110
2,4.8,5,19.8443759554832,30,159,2,1,177,13,72.992381,19.351315,72.862381,19.221315,75
2,4.2,0,20.21174964935524,31,139,1,1,155,13,77.129594,11.152169,76.999594,11.022169,200
10,4.9,3,6.108440050157439,27,74,0,1,85,28,72.948493,19.161999,72.908493,19.121999,105
1,4.9,3,12.2127855162281,26,163,2,2,182,31,72.942381,19.301315,72.862381,19.221315,95
15,5.0,1,9.176983903804434,21,158,2,0,175,28,73.964337,18.606258,73.904337,18.546258,100
5,4.3,2,1.5494928952782654,30,18,2,0,22,22,80.241598,12.991615,80.231598,12.981615,27
0,4.6,2,7.4397103762865475,29,138,1,1,153,26,75.847282,26.961927,75.797282,26.911927,55
2,5.0,0,3.0682457244058714,28,17,2,1,22,14,78.469578,17.442819,78.449578,17.422819,80
14,4.8,1,3.1097793175531723,26,40,0,0,47,36,77.015667,11.042477,76.995667,11.022477,125
8,4.6,4,10.845954196990007,31,157,2,1,175,31,77.766664,13.045377,77.696664,12.975377,135
15,5.0,0,5.952035110828275,25,79,3,1,90,20,75.834592,26.945287,75.794592,26.905287,85
13,4.8,3,12.552275755914394,36,157,2,0,175,41,0.08,0.08,0.0,0.0,75
12,4.1,2,20.14107759067161,36,135,1,0,151,31,80.361598,13.111615,80.231598,12.981615,240
13,4.6,1,5.952089618361531,37,93,3,0,105,26,75.832934,26.942908,75.792934,26.902908,85
8,5.0,3,20.86271904961706,21,166,2,1,186,3,80.453458,26.611529,80.313458,26.471529,70
15,4.9,5,6.197807133001162,38,82,3,0,92,18,77.680489,13.02041,77.640489,12.98041,140
10,4.9,1,4.62333991163764,22,129,1,1,143,4,73.785736,15.574419,73.755736,15.544419,110
0,4.6,0,10.70661791253787,25,121,3,0,136,41,73.966485,18.606562,73.896485,18.536562,195
5,4.6,3,19.637257466273653,39,150,1,0,168,31,76.011991,22.781847,75.881991,22.651847,27
9,4.6,0,1.5180601561565734,26,33,2,0,40,14,72.778778,21.167735,72.768778,21.157735,100
7,4.8,5,9.295364404085742,32,130,1,2,144,28,80.29311,13.105479,80.23311,13.045479,130
7,4.5,1,10.85961357947744,34,172,2,1,192,31,76.713622,12.374569,76.643622,12.304569,130
4,4.9,1,19.026473457578888,32,124,1,0,138,1,75.952103,31.025204,75.822103,30.895204,210
2,4.5,1,3.0681593749537246,22,18,2,1,23,14,78.406744,17.453809,78.386744,17.433809,75
8,4.0,3,10.859283040288217,39,106,3,0,118,23,76.691094,12.391214,76.621094,12.321214,190
8,4.9,0,9.414207472710387,33,161,2,0,178,22,0.06,0.06,0.0,0.0,105
9,4.8,3,6.205720759051468,23,77,0,1,88,40,76.68262,12.339524,76.64262,12.299524,80
3,4.7,4,7.536651156165949,35,0,2,1,3,34,85.3672,23.383017,85.3172,23.333017,65
0,5.0,4,10.85961357947744,33,119,3,1,133,35,76.713622,12.374569,76.643622,12.304569,135
3,4.6,3,7.551455556046013,37,168,2,0,187,8,75.943106,22.795536,75.893106,22.745536,125
12,4.6,4,6015.883883533317,34,53,0,0,61,0,78.097044,27.203303,78.057044,-27.163303,140
7,4.8,3,1.5103908082386506,25,21,2,1,25,42,75.903106,22.755536,75.893106,22.745536,80
10,4.1,2,6.219472715578527,37,88,3,1,100,38,76.980432,11.06091,76.940432,11.02091,155
15,4.9,1,19.845164623281907,23,171,2,1,191,9,73.102281,19.337222,72.972281,19.207222,140
8,4.6,2,4.653886193068267,27,152,1,1,168,42,76.63665,12.382058,76.60665,12.352058,110
6,4.6,5,10.883734942367136,22,141,1,0,157,29,77.085393,11.095083,77.015393,11.025083,100
8,4.5,2,10.550310831725128,29,103,3,1,115,19,85.395731,23.421058,85.325731,23.351058,85
11,4.7,4,10.844889441833946,25,111,3,0,124,23,80.244568,13.096279,80.174568,13.026279,75
9,4.9,1,4.553783927401381,21,157,2,1,174,14,72.825503,21.205975,72.795503,21.175975,75
7,4.5,1,16.873913909070506,37,173,2,0,0,21,78.439645,17.521028,78.329645,17.411028,185
0,5.0,4,6.197807133001162,29,84,3,1,94,24,77.680489,13.02041,77.640489,12.98041,85
4,4.7,5,19.8506301435878,27,175,2,0,1,37,72.955451,19.2393,72.825451,19.1093,120
14,4.7,4,6.071959804867507,22,45,0,1,52,24,72.808778,21.197735,72.768778,21.157735,90
14,4.9,5,1.5549425189079678,34,27,2,1,32,26,76.961736,11.016686,76.951736,11.006686,145
7,4.6,5,4.531030205261474,30,135,1,0,151,18,75.922471,22.775049,75.892471,22.745049,195
8,4.9,5,16.36550392738388,23,142,1,1,159,31,75.899034,27.021378,75.789034,26.911378,85
13,4.8,1,14.121309628180253,37,135,1,0,152,41,0.09,0.09,0.0,0.0,245
2,4.2,2,3.098970591291107,35,13,2,0,19,40,77.660709,12.999166,77.640709,12.979166,170
15,4.5,0,12.142706560602194,20,145,1,0,163,35,72.869122,21.250096,72.789122,21.170096,175
3,4.9,3,9.296679247291038,24,132,1,1,147,12,77.656014,13.032161,77.596014,12.972161,50
8,4.1,5,3.035957834367633,30,23,2,0,29,22,72.809122,21.190096,72.789122,21.170096,170
0,4.7,5,5.9461817680454905,28,97,3,0,108,0,78.08299,27.199795,78.04299,27.159795,125
3,5.0,3,12.142076903171407,23,126,1,0,140,19,72.873616,21.266884,72.793616,21.186884,130
14,4.8,4,1.5103624222739924,38,36,0,0,44,42,75.89949,22.761234,75.88949,22.751234,130
5,4.7,2,10.687630840937125,25,171,2,0,190,23,72.904715,19.248321,72.834715,19.178321,16
3,4.1,3,7.589769422472331,36,160,2,0,177,12,72.824209,21.210437,72.774209,21.160437,110
4,4.3,0,16.796129650059807,38,120,3,1,134,29,72.923074,19.241141,72.813074,19.131141,160
4,4.8,4,12.236154541166352,30,113,3,1,127,39,73.908972,18.610963,73.828972,18.530963,80
7,4.0,1,12.272409898050832,20,123,1,0,139,17,78.409645,17.491028,78.329645,17.411028,155
1,4.1,3,13.804558948437522,23,143,1,0,159,39,78.458855,17.54971,78.368855,17.45971,195
14,4.1,2,3.138069407388937,34,31,2,0,36,14,0.02,0.02,0.0,0.0,105
11,4.6,0,10.57170551777194,36,161,2,0,179,25,75.962471,22.815049,75.892471,22.745049,185
5,4.5,3,4.530985191304095,22,145,1,1,162,28,75.9234,22.77806,75.8934,22.74806,29
11,4.6,0,5866.888987370982,21,55,0,0,63,6,80.358656,26.53095,80.318656,-26.49095,100
0,4.6,3,1.5125287367950533,27,37,0,0,45,28,73.180283,22.32279,73.170283,22.31279,130
11,4.9,1,19.644883781591208,23,163,2,0,182,5,88.496217,22.663662,88.366217,22.533662,110
7,4.6,0,7.746557479642295,26,170,2,0,189,20,80.292439,13.072394,80.242439,13.022394,90
6,4.8,1,4.671892981247609,26,104,3,2,117,2,76.340019,10.058047,76.310019,10.028047,70
15,4.7,4,6.107510394065288,28,85,3,0,97,16,72.876721,19.216269,72.836721,19.176269,105
15,4.6,2,7.757102346541481,27,107,3,0,120,26,76.715169,12.347954,76.665169,12.297954,130
0,4.9,4,9.10683925158306,26,161,2,1,180,32,72.853616,21.246884,72.793616,21.186884,85
12,5.0,2,7.439903377482956,28,125,1,1,141,18,75.860753,26.95519,75.810753,26.90519,100
8,4.0,3,17.259376716936664,29,123,1,0,137,19,0.11,0.11,0.0,0.0,180
7,4.5,1,7.63817170737528,36,115,3,1,128,12,72.875203,19.044049,72.825203,18.994049,80
0,4.6,5,11.891386636906686,27,122,1,1,138,7,78.124095,27.240934,78.044095,27.160934,110
